18900, 5200, 43000, 32900
50200, 17600, 31600, 600
55000, 29000, 1000, 15000
54500, 1100, 27600, 16800
45800, 17000, 32100, 5100
30400, 6400, 43300, 19900
20200, 42000, 7300, 30500
43900, 33700, 17400, 5000
30500, 44100, 20400, 5000
34000, 17500, 44400, 4100
45600, 3600, 16900, 33900
47400, 17400, 29200, 6000
8100, 19800, 30100, 42000
18000, 46000, 18000, 18000
55500, -1500, 15500, 30500
22700, 47100, 7500, 22700
29500, 17500, 47500, 5500
31000, 31000, 31000, 7000
46000, 31100, 20100, 2800
46500, 10500, 32500, 10500
46200, 32800, -1200, 22200
45100, 1900, 20300, 32700
21700, 300, 45800, 32200
48000, 15400, 4300, 32300
19700, 45400, 31100, 3800
30500, 12500, 44500, 12500
44800, 5100, 33200, 16900
52800, 9100, 29000, 9100
11700, 11700, 30700, 45900
16100, 29800, 50100, 4000
18000, 28500, 45800, 7700
7700, 23300, 45700, 23300
28600, 3500, 53100, 14800
54400, 14800, 3400, 27400
20400, 7600, 36000, 36000
48000, 11000, 30000, 11000
33400, 16800, 44600, 5200
3800, 28900, 18800, 48500
24200, 5300, 24200, 46300
50000, 23000, 23000, 4000
43900, 5800, 30700, 19600
32000, 5500, 43000, 19500
23000, 23000, 50000, 4000
46900, 3700, 34700, 14700
31000, 10000, 49000, 10000
32600, 16000, 52200, -800
31000, 12000, 45000, 12000
1200, 12700, 34900, 51200
53700, 14300, 30400, 1600
19600, 32800, 44200, 3400
37500, 6500, 37500, 18500
46200, 5700, 32300, 15800
55200, 3000, 15500, 26300
29000, 10000, 51000, 10000
22100, 800, 44000, 33100
30900, 19400, 43100, 6600
44500, 3500, 31500, 20500
42300, 31700, 20200, 5800
26000, 26000, 5000, 43000
45600, 17200, 30200, 7000
18800, 42800, 8600, 29800
32000, 19000, 47000, 2000
2500, 19500, 33500, 44500
32200, 1000, 45700, 21100
48000, 11000, 11000, 30000
31800, 43100, 19100, 6000
30500, 43700, 7700, 18100
11500, 47500, 29500, 11500
30500, 19500, 6500, 43500
47200, 7000, 28600, 17200
27800, 4300, 53300, 14600
42500, 8500, 24500, 24500
42400, 31800, 19900, 5900
32300, 4600, 44500, 18600
24000, 5000, 47000, 24000
45700, 16600, 5000, 32700
20200, 7200, 31000, 41600
18500, 46500, 5500, 29500
33300, -700, 22700, 44700
43200, 17900, 31600, 7300
41500, 25500, 25500, 7500
35500, 14500, 35500, 14500
31000, 31000, 7000, 31000
33000, 44000, 20000, 3000
22200, 200, 55400, 22200
30500, 9500, 50500, 9500
25000, 25000, 25000, 25000
15200, 32200, 50000, 2600
7900, 30700, 41000, 20400
35500, 14500, 35500, 14500
44000, 32200, 21000, 2800
30500, 8300, 18600, 42600
30100, 5200, 45500, 19200
32500, 43500, 18500, 5500
7000, 30000, 17500, 45500
46300, 33000, 16300, 4400
20700, 31700, 42900, 4700
44000, 6000, 19000, 31000
44000, 18700, 33900, 3400
32500, 5500, 43500, 18500
18100, 3000, 30000, 48900
44500, 18000, 7000, 30500
19000, 3000, 39000, 39000
33000, 17300, 43900, 5800
48600, 31200, 16400, 3800
43300, 3800, 21100, 31800
18600, 600, 45500, 35300
41800, 7800, 25200, 25200
44700, 31300, 6700, 17300
17300, 39700, 3300, 39700
45700, 31300, 5400, 17600
48000, 5000, 23500, 23500
33100, 1000, 16400, 49500
24600, 9300, 24600, 41500
30000, 6800, 18600, 44600
13500, 13500, 29500, 43500
48000, 30000, 11000, 11000
28000, 11500, 49000, 11500
5200, 18000, 47600, 29200
43200, 30200, 18700, 7900
31600, 5600, 45300, 17500
30000, 11000, 11000, 48000
45200, 34100, 16600, 4100
44500, 30500, 12500, 12500
19900, 42200, 31700, 6200
43600, 19300, 7500, 29600
30800, 16200, 47200, 5800
32100, 19300, 43300, 5300
51200, 5700, 16100, 27000
25000, 25000, 44000, 6000
31000, 31000, 31000, 7000
30800, 47300, 3600, 18300
1900, 30200, 50600, 17300
29700, 42300, 19100, 8900
2000, 34000, 14100, 49900
53800, 2800, 16400, 27000
36100, 1000, 48700, 14200
17100, 5500, 47700, 29700
-500, 22700, 33100, 44700
30100, 17900, 47100, 4900
33100, 10700, 45500, 10700
46000, 5000, 18000, 31000
4900, 31100, 20800, 43200
32000, 43000, 19000, 6000
25000, 44000, 6000, 25000
20000, 36500, 7000, 36500
53000, 21000, 21000, 5000
